TINY FACADE  |  2-Week Sprint Board,,,,,,,,,,,,
Expedition Tiny Aya  |  Cohere Labs  |  Mentor: Julia Kreutzer  |  March 2026,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
#,Day,Task,Description,Owner,Sub-Q,Blocked By,Unlocks,Deliverable,Effort,Impact,Status,Notes / Julia Sync
WEEK 1: MODEL VALIDATION & TRAINING (Days 1-7),,,,,,,,,,,,
1.1,D1,Zero-shot tool calling test,Run TinyAya-Earth on Ollama with 5-10 tool defs in EN/SW/LG. Measure JSON validity and F1. This is the kill-or-continue gate.,Bronson,SQ1,None,"1.2, 1.3, 1.4",No,Low,5,In progress,JULIA: Share zero-shot results immediately. Go/no-go on the whole approach. We tested the models on 33 tests and we got interesting initial results but the evaluation is too small to make a conclusion.
1.2,D1-2,Synthetic dataset generation,"Use Command A to generate ~600 tool-calling examples (200 EN, 200 SW, 200 LG) across 5-10 tool schemas. Native speaker validation in parallel.",Kato Steven Mubiru,SQ1,None,"1.4, 1.6",Dataset (600 examples),Medium,5,In progress,"Start EN+SW on D1, LG on D2. Sa'ad/oj can help validate Swahili examples."
1.3,D2-3,Prompt engineering iteration,"Systematic: system prompts with tool schema injection, few-shot examples, constrained decoding via llama.cpp grammars. Measure F1 at each stage.",Bronson,SQ4,1.1,1.4,No,Medium,4,Not started,JULIA: Compare zero-shot vs prompted. Discuss if constrained decoding is enough alone.
1.4,D4-6,LoRA fine-tune with Unsloth,"Fine-tune TinyAya-Earth on synthetic dataset using Unsloth (QLoRA, 4-bit). Colab T4 or RunPod A100. Multiple runs: LR sweep, data mix, epochs. Select best checkpoint.",Bronson,SQ1+4,"1.2, 1.3","1.5, 2.1",LoRA adapter weights,High,5,Not started,JULIA D4: Share run 1 training curves. D5: Compare runs. D6: Final model selection rationale.
1.5,D5,GGUF quantization + Ollama,"Convert best checkpoint to GGUF (Q4_K_M, Q5_K_M). Create Ollama Modelfile with tool-calling prompt template. Verify inference.",Kato Steven Mubiru,SQ1,1.4 (run 1),2.1,GGUF files + Modelfile,Low,3,In progress,Can start with run 1 checkpoint while Bronson continues sweeps.
1.6,D3-4,Evaluation harness,"Automated eval pipeline: load test set, run inference, compute F1 / schema compliance / intent routing accuracy. JSON + markdown output.",Kato Steven Mubiru,SQ1+4,1.2 (partial),"1.4, 2.4",Eval scripts + results,Medium,4,Not started,JULIA: Demo the harness on D3. Run baselines on D4.
1.7,D7,Week 1 buffer + documentation,"Catch-up on anything that slipped. Document decisions, update experiment log. Prepare for Week 2 integration.",All,All,None,2.1,No,Low,2,Not started,JULIA: Week 1 retrospective. Share results summary. Plan Week 2 priorities together.
WEEK 2: ANDROID INTEGRATION & DELIVERY (Days 8-14),,,,,,,,,,,,
2.1,D8-10,Facade Android service,"Core service: load GGUF via llama.cpp NDK, expose AIDL interface. Client sends text in any language, Facade understands, generates tool call, executes, returns result.",Bronson,SQ2,1.5,"2.2, 2.3, 2.4",Facade APK,High,5,In progress,JULIA D8: Architecture review. D9: First on-device inference demo. D10: Execution layer working.
2.2,D9-10,Demo App 1: Offline Assistant,"Thin UI client. User types in any language. Facade handles understanding + tool execution (calls, messages, alarms) + response. Client just renders.",Kato Steven Mubiru,SQ2+3,2.1 (scaffold),"2.4, 2.6",Assistant APK,Medium,4,Not started,Gimmyalex/oj can help with UI polish if available.
2.3,D10-11,Demo App 2: Translation,"Second thin client proving heterogeneous tool schemas through same Facade service. Input text, Facade translates, returns result.",Sa'ad Nasir Bashir,SQ2+3,2.1,2.6,Translation APK,Low,3,Not started,Simplest demo. Proves the shared service pattern with a different tool schema.
2.4,D11,Storage + latency benchmarks,"Measure: shared service disk footprint vs N bundled apps, cold start time, TTFT, total generation, peak RAM. Mid-range device.",Bronson,SQ2,"2.1, 2.2",2.5,Benchmark report,Medium,4,Not started,JULIA: Share raw numbers. Discuss what's publishable.
2.5,D12-13,Technical report,"Full expedition write-up: architecture, methodology, results tables, analysis. Follow Co/Scope structure.",Bronson,All,2.4,Final submission,Technical report PDF,Medium,5,Not started,JULIA D12: Review structure + early draft. D13: Final feedback round.
2.6,D11-13,Demo video + blog post,Screen recording: both apps running simultaneously on one phone. Storage comparison visual. Blog draft for bakungabronson.com.,Kato Steven Mubiru,Deliver,"2.2, 2.3",Final submission,Video + blog draft,Low,3,Not started,Keep it under 3 minutes. Focus on the 'wow' moment of multilingual + shared service.
2.7,D13,HuggingFace model upload,"Upload LoRA adapter + GGUF variants to CraneAILabs HF. Model card: benchmarks, usage, citation BibTeX.",Bronson,Deliver,1.4,Final submission,HF model card,Low,3,Not started,
2.8,D13,GitHub repo cleanup,"Clean repo: README with architecture diagram, Apache 2.0, training scripts, eval harness, Android project. Reproducibility check.",Kato Steven Mubiru,Deliver,All code tasks,Final submission,GitHub repo,Low,3,Not started,oj/Gimmyalex can help with README and docs.
2.9,D14,Final review + submission,Final pass on all deliverables. Submit to expedition. Celebrate.,All,All,"2.5, 2.6, 2.7, 2.8",None,All deliverables,Low,5,Not started,JULIA: Final sync. Thank you!
CONTINUOUS / PARALLEL WORK,,,,,,,,,,,,
P.1,Daily,Mentor sync with Julia,"15-min daily standup: what we did, blockers, plan. Share eval metrics as they come. Specific focus areas noted in each task's Notes column.",Bronson,All,None,None,No,Low,5,Ongoing,Bronson leads sync. Julia sees this board for async context.
P.2,Ongoing,Native speaker validation,"Continuous validation of synthetic data and model outputs in Luganda and Swahili. Flag bad examples, refine dataset. Feed corrections back to training.",Kato Steven Mubiru,SQ1,1.2,"1.4, 1.6",Validated dataset,Low,4,Ongoing,Sa'ad helps with Swahili. Kato covers Luganda. Track error patterns.
P.3,Ongoing,Experiment logging,"Track all runs: hyperparams, eval metrics, model versions. W&B or CSV. Julia and team review async.",All,All,None,2.5,Experiment log,Low,3,Ongoing,Link to W&B project or shared sheet here once set up.
,,,,,,,,,,,,
Status colors: Done = green  |  In progress = amber  |  Blocked = red  |  Ongoing = blue  |  Skipped = gray,,,,,,,,,,,,
Sub-Questions: SQ1 = Tool-calling accuracy  |  SQ2 = Shared inference viability  |  SQ3 = Intent routing  |  SQ4 = Prompt eng vs fine-tuning  |  Deliver = Expedition deliverable,,,,,,,,,,,,
